gate_name	gate_suffix	block_size	threshold	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
QFTAdd8	before	5	0.001	13.911921484000231	45.33358954600044	1.263426044895155e-07	7.884717788753104e-05	8.47898276837844e-05	0	200	276	15931	24896	222	13332	21015	2025-04-11T12:56:12.408527
QFTAdd8	after	5	0.001	4.189483221000046	26.19665253400035	9.30225951822905e-08	0.0005262882588440432	0.0005977266993482111	0	200	122	6271	9985	117	6156	9764	2025-04-11T12:56:48.733921
QFTAdd8	before	5	1e-07	35.24500979000004	72.65446754499953	1.263426044895155e-07	1.4741602882839544e-07	2.666993355049385e-07	0	200	276	15573	24226	223	13098	20591	2025-04-11T12:58:47.725408
QFTAdd8	after	5	1e-07	12.670591278000757	48.931260222000674	9.30225951822905e-08	2.2958087764202162e-07	9.510416310032355e-08	0	200	122	6745	10620	117	7438	11735	2025-04-11T12:59:55.789052
QFTAdd8	before	5	0.0001	7.211367945000347	48.16054598400024	1.263426044895155e-07	3.1988431484109014e-05	2.2054854230790788e-05	0	200	276	18135	28031	218	15070	23510	2025-04-11T13:01:04.055992
QFTAdd8	after	5	0.0001	4.124305792999621	33.50883473199974	9.30225951822905e-08	4.9771451941293954e-05	5.89223170128772e-05	0	200	122	7396	11621	117	7194	11309	2025-04-11T13:01:48.173986
QFTAdd8	before	5	1e-06	25.15123745800065	67.33393312299995	1.263426044895155e-07	1.0782581538748559e-07	0.0	0	200	276	16335	25471	214	14063	22053	2025-04-11T13:03:32.136943
QFTAdd8	after	5	1e-06	11.16838101400026	45.46832807699957	9.30225951822905e-08	2.577579106821659e-07	2.7182566719741175e-07	0	200	122	7644	11994	117	7612	11973	2025-04-11T13:04:35.529894
QFTAdd8	before	5	1e-08	43.966551800999696	101.50974914499966	1.263426044895155e-07	1.7104608807105848e-07	2.1664311788960333e-07	0	200	276	15537	24178	234	13080	20482	2025-04-11T13:07:11.979277
QFTAdd8	after	5	1e-08	21.918377656999837	61.57760540400068	9.30225951822905e-08	1.4124376568336316e-07	1.6284284598544474e-07	0	200	122	6766	10690	118	7437	11697	2025-04-11T13:08:41.842747
QFTAdd8	before	6	1e-05	20.093433656999878	711.2123459679997	1.0536712125031045e-07	5.013645063556282e-06	4.191647998585957e-06	0	200	276	18909	29184	192	14708	22890	2025-04-11T13:21:05.562265
QFTAdd8	after	6	1e-05	13.52203546400051	226.14219729599972	8.685033203725823e-08	5.804569546352667e-06	5.669524524631875e-06	0	200	122	8415	13079	114	8353	13040	2025-04-11T13:25:12.507045
QFTAdd8	before	6	0.001	8.330074948999936	363.1025732420003	1.0536712125031045e-07	0.0002737497592824045	0.0003320945119649199	0	200	276	15879	24633	212	12548	19784	2025-04-11T13:31:35.044754
QFTAdd8	after	6	0.001	4.222121755000444	175.57718399900023	8.685033203725823e-08	0.0005095780463101329	0.00048378801892623446	0	200	122	6430	10218	115	6492	10238	2025-04-11T13:34:40.770571
QFTAdd8	before	6	1e-07	60.21816848599883	490.44762401200023	1.0536712125031045e-07	1.0536712125031045e-07	1.1010326528282377e-07	0	200	276	15460	24003	203	11895	18729	2025-04-11T13:44:01.925472
QFTAdd8	after	6	1e-07	17.94581075499991	227.5322416960007	8.685033203725823e-08	2.2082227335573634e-07	2.4773140305800467e-07	0	200	122	6823	10703	117	7228	11335	2025-04-11T13:48:13.800904
QFTAdd8	before	6	0.0001	21.832989127000474	403.7424713119999	1.0536712125031045e-07	2.221589938000701e-05	2.2079074254888198e-05	0	200	276	18650	28711	205	14270	22179	2025-04-11T13:55:31.866754
QFTAdd8	after	6	0.0001	4.598920754000574	208.477883775	8.685033203725823e-08	5.380212700245579e-05	5.605095890814926e-05	0	200	122	7680	12052	114	7597	11957	2025-04-11T13:59:11.542268
QFTAdd8	before	6	1e-06	37.5379242580002	457.5899016680014	1.0536712125031045e-07	2.107342422785763e-08	0.0	0	200	276	17173	26646	194	12989	20378	2025-04-11T14:07:38.038416
QFTAdd8	after	6	1e-06	9.552453697999226	217.44111924699973	8.685033203725823e-08	3.6587612672889236e-07	2.5960086202925226e-07	0	200	122	7613	11956	114	7631	11992	2025-04-11T14:11:31.749964
QFTAdd8	before	6	1e-08	70.15820186600104	455.7867855989989	1.0536712125031045e-07	1.4607785070452906e-07	2.5811572790246373e-07	0	200	276	15413	23891	216	12201	19107	2025-04-11T14:20:28.168966
QFTAdd8	after	6	1e-08	19.105901380999057	256.73749513999974	8.685033203725823e-08	1.459799097158765e-07	1.8460907125206205e-07	0	200	122	6791	10707	118	6805	10744	2025-04-11T14:25:10.353184
QFTAdd8	before	7	1e-05	23.259929657999237	6494.9014544090005	8.429369702245282e-08	4.177901808510853e-06	4.011128364900252e-06	0	200	276	20634	31750	204	16044	24991	2025-04-11T16:14:05.550166
QFTAdd8	before	4	1e-05	15.686573224000313	30.960129376002442	2.0711861459243863e-07	4.075826009808381e-06	4.4960598141186026e-06	0	200	276	18921	29304	201	14308	22185	2025-04-11T16:57:15.005787
QFTAdd8	after	4	1e-05	4.612416549000045	23.570530905999476	8.067806900324825e-08	5.507672852345102e-06	5.766285281705308e-06	0	200	122	7840	12290	114	7694	12097	2025-04-11T16:57:49.693158
QFTAdd64	before	4	1e-05	311.58442061299866	829.0147249330003	7.050423186716337e-06	8.110808171424289e-06	6.9367018123989155e-06	0	4396	6402	273028	424719	5582	260630	406088	2025-04-11T17:19:55.227620
QFTAdd64	after	4	1e-05	122.44761835400277	492.8357998909996	4.357856415060368e-06	4.788325374427416e-06	4.791351077559902e-06	0	4396	2388	112683	177567	2370	113977	179447	2025-04-11T17:31:26.577149
QFTAdd8	before	4	1e-05	13.92607361499904	31.64536228200086	2.0711861459243863e-07	4.134419343215789e-06	4.6524763213096065e-06	0	200	276	18920	29288	202	14534	22621	2025-04-11T18:46:22.300348
QFTAdd8	after	4	1e-05	4.3499542950012255	24.11302124299982	8.067806900324825e-08	5.950082191619188e-06	5.993364164291748e-06	0	200	122	7729	12117	114	7420	11598	2025-04-11T18:46:57.258586
QFTAdd8	before	4	1e-05	13.530766980999033	31.505915893001657	2.0711861459243863e-07	3.8785682920927655e-06	4.174573724591291e-06	0	200	276	18915	29312	202	14671	22723	2025-04-11T18:50:50.080886
QFTAdd8	after	4	1e-05	4.281898465000268	22.9280798639993	8.067806900324825e-08	5.297993204589346e-06	6.069540475883706e-06	0	200	122	7837	12325	114	7434	11690	2025-04-11T18:51:34.965868
QFTAdd64	before	4	1e-05	312.981290325999	850.5772336070004	7.050423186716337e-06	7.78231474463098e-06	7.170084997842885e-06	0	4396	6402	273002	424914	5609	254797	397297	2025-04-11T19:13:57.396195
QFTAdd64	after	4	1e-05	122.20965692000027	480.05224086199814	4.357856415060368e-06	4.8438509709924915e-06	4.9164107804866575e-06	0	4396	2388	112645	177729	2375	113769	179092	2025-04-11T19:25:13.186745
QFTAdd64	before	4	1e-05	317.06705766699815	819.9284643579995	7.050423186716337e-06	7.883644907558107e-06	6.605431148498653e-06	0	4396	6402	273170	424427	5594	262025	407797	2025-04-11T20:22:32.692899
QFTAdd64	after	-1	1063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Skipping circuit QFTAdd64_after because it required too tight an error threshold 9.407337723424272e-09	2025-04-15T18:18:58.802030	Skipping circuit QFTAdd64_after because it required too tight an error threshold 9.407337723424272e-09
QFTAdd64	after	4	1063	1e-05	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:24:33.100573	Skipping circuit QFTAdd64_after because it required too tight an error threshold 9.407337723424272e-09
